Filename,Page,Ground truth,Prediction
32526_38.pdf,1,map,map
24521_1.pdf,1,title_page,section_header
40448_1.pdf,1,title_page,title_page
29192_238.pdf,1,boreprofile,boreprofile
34506_1.pdf,1,title_page,title_page
4828_7.pdf,1,text,text
1677_25.pdf,1,diagram,diagram
7066_16.pdf,1,geo_profile,boreprofile
1766_8.pdf,1,unknown,map
28777_11.pdf,1,map,unknown
2121_19.pdf,1,geo_profile,geo_profile
8739_6.pdf,1,diagram,diagram
19321_27.pdf,1,boreprofile,boreprofile
28777_9.pdf,1,map,map
8583_10.pdf,1,text,text
43283_35.pdf,1,boreprofile,boreprofile
8739_4.pdf,1,geo_profile,geo_profile
250_10.pdf,1,unknown,map
17415_67.pdf,1,boreprofile,unknown
7066_6.pdf,1,table,text
17415_66.pdf,1,boreprofile,boreprofile
20170_214.pdf,1,unknown,unknown
19321_18.pdf,1,table,table
35613_49.pdf,1,unknown,section_header
8583_11.pdf,1,text,text
1630_32.pdf,1,unknown,text
35613_65.pdf,1,unknown,unknown
44079_8.pdf,1,unknown,text
2155_132.pdf,1,boreprofile,boreprofile
6491_1.pdf,1,title_page,title_page
1630_482.pdf,1,text,text
ntb88-007_236.pdf,1,text,text
44159_44.pdf,1,text,text
43283_25.pdf,1,diagram,diagram
44179_190.pdf,1,map,map
44179_147.pdf,1,table,table
44179_151.pdf,1,unknown,text
8583_16.pdf,1,map,map
1801_224.pdf,1,diagram,diagram
6414_3.pdf,1,boreprofile,geo_profile
17415_61.pdf,1,boreprofile,unknown
7066_13.pdf,1,boreprofile,boreprofile
11613_9.pdf,1,boreprofile,boreprofile
24279-24282_13.pdf,1,text,text
30218_1.pdf,1,title_page,title_page
44036_1.pdf,1,title_page,title_page
24361_27.pdf,1,unknown,map
24279-24282_12.pdf,1,text,text
24361_33.pdf,1,geo_profile,geo_profile
11613_8.pdf,1,boreprofile,boreprofile
NTB_07-01_55.pdf,1,text,text
32987_51.pdf,1,diagram,text
8739_3.pdf,1,map,geo_profile
34389_4.pdf,1,boreprofile,boreprofile
1062_7.pdf,1,text,text
32987_22.pdf,1,boreprofile,boreprofile
1432_3.pdf,1,unknown,unknown
1860_3.pdf,1,section_header,unknown
31800_19.pdf,1,boreprofile,boreprofile
40636_14.pdf,1,map,map
44179_87.pdf,1,text,unknown
8583_2.pdf,1,section_header,section_header
35787_2.pdf,1,boreprofile,boreprofile
